"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 30 05:58:58 GMT 2024","Sat Nov 30 05:58:58 GMT 2024","132","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","User should not be able to create two projects with the same id",""
"passed","Sat Nov 30 05:58:58 GMT 2024","Sat Nov 30 05:58:59 GMT 2024","242","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete a project",""
"passed","Sat Nov 30 05:58:58 GMT 2024","Sat Nov 30 05:58:58 GMT 2024","186","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Sat Nov 30 05:58:58 GMT 2024","Sat Nov 30 05:58:58 GMT 2024","71","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameTest","User should not be able to create project with empty name",""
"passed","Sat Nov 30 05:58:55 GMT 2024","Sat Nov 30 05:58:57 GMT 2024","2384","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Nov 30 05:58:55 GMT 2024","Sat Nov 30 05:58:55 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Nov 30 05:57:48 GMT 2024","Sat Nov 30 05:58:38 GMT 2024","49838","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Nov 30 05:58:55 GMT 2024","Sat Nov 30 05:58:55 GMT 2024","11","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sat Nov 30 05:58:57 GMT 2024","Sat Nov 30 05:58:58 GMT 2024","523","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
