"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 30 06:07:18 GMT 2024","Sat Nov 30 06:07:18 GMT 2024","135","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","User should not be able to create two projects with the same id",""
"passed","Sat Nov 30 06:07:15 GMT 2024","Sat Nov 30 06:07:15 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Nov 30 06:07:17 GMT 2024","Sat Nov 30 06:07:18 GMT 2024","527","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sat Nov 30 06:07:18 GMT 2024","Sat Nov 30 06:07:18 GMT 2024","146","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete a project",""
"passed","Sat Nov 30 06:07:15 GMT 2024","Sat Nov 30 06:07:15 GMT 2024","21","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sat Nov 30 06:07:15 GMT 2024","Sat Nov 30 06:07:17 GMT 2024","2350","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Nov 30 06:07:18 GMT 2024","Sat Nov 30 06:07:18 GMT 2024","198","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Sat Nov 30 06:07:18 GMT 2024","Sat Nov 30 06:07:18 GMT 2024","78","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameTest","User should not be able to create project with empty name",""
"passed","Sat Nov 30 06:06:07 GMT 2024","Sat Nov 30 06:06:57 GMT 2024","50072","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
