"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 22:27:22 GMT 2024","Fri Nov 29 22:27:22 GMT 2024","68","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameTest","User should not be able to create project with empty name",""
"passed","Fri Nov 29 22:27:22 GMT 2024","Fri Nov 29 22:27:22 GMT 2024","243","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Fri Nov 29 22:26:11 GMT 2024","Fri Nov 29 22:27:02 GMT 2024","50737","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 29 22:27:19 GMT 2024","Fri Nov 29 22:27:19 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Fri Nov 29 22:27:23 GMT 2024","Fri Nov 29 22:27:23 GMT 2024","199","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete a project",""
"passed","Fri Nov 29 22:27:21 GMT 2024","Fri Nov 29 22:27:22 GMT 2024","689","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Fri Nov 29 22:27:19 GMT 2024","Fri Nov 29 22:27:21 GMT 2024","2510","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Fri Nov 29 22:27:19 GMT 2024","Fri Nov 29 22:27:19 GMT 2024","5","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Fri Nov 29 22:27:22 GMT 2024","Fri Nov 29 22:27:23 GMT 2024","249","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","User should not be able to create two projects with the same id",""
