"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 23:22:02 GMT 2024","Fri Nov 29 23:22:02 GMT 2024","171","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","User should not be able to create two projects with the same id",""
"passed","Fri Nov 29 23:21:58 GMT 2024","Fri Nov 29 23:21:58 GMT 2024","8","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Fri Nov 29 23:22:02 GMT 2024","Fri Nov 29 23:22:02 GMT 2024","109","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameTest","User should not be able to create project with empty name",""
"passed","Fri Nov 29 23:22:01 GMT 2024","Fri Nov 29 23:22:01 GMT 2024","557","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Fri Nov 29 23:22:02 GMT 2024","Fri Nov 29 23:22:03 GMT 2024","845","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete a project",""
"passed","Fri Nov 29 23:22:01 GMT 2024","Fri Nov 29 23:22:02 GMT 2024","198","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Fri Nov 29 23:20:46 GMT 2024","Fri Nov 29 23:21:40 GMT 2024","53782","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 29 23:21:58 GMT 2024","Fri Nov 29 23:22:01 GMT 2024","2704","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Fri Nov 29 23:21:58 GMT 2024","Fri Nov 29 23:21:58 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
